driverId,week,hours-logged,miles-logged
50,32,79,2000
77,18,78,3100
39,29,62,900
81,31,76,2600
101,43,56,3600
72,42,56,600
93,1,50,900
66,17,75,2700
21,49,57,2000
74,45,59,3500
87,52,52,1200
31,47,64,800
103,5,52,3600
35,46,62,2700
37,49,63,3000
25,34,55,700
64,31,67,1400
67,25,52,1600
56,2,77,3300
98,42,71,200
43,19,57,2300
91,17,66,4000
39,40,55,900
60,30,77,3200
85,52,79,3900
29,6,62,1700
26,34,60,1900
95,3,54,1500
47,26,50,4000
55,11,53,1000
47,29,56,3300
34,51,54,700
76,49,69,2400
49,33,72,3200
70,43,54,100
47,22,75,1500
19,31,77,1000
80,49,75,1100
14,32,79,3700
10,25,73,1600
106,7,55,3400
34,3,67,3200
109,31,57,2900
40,1,72,2200
100,50,51,3600
71,38,64,1200
84,31,75,300
97,52,62,1800
31,12,78,2800
85,9,77,2400
32,15,56,1000
51,12,51,2100
96,15,51,1000
17,23,55,1900
77,35,53,100
37,28,54,1600
26,7,59,1200
97,52,59,2700
19,25,56,1000
16,42,61,3400
40,35,72,3000
103,32,72,3200
63,30,63,200
76,46,80,2500
93,23,60,2600
63,9,78,3300
59,5,72,2200
23,12,52,2500
17,4,61,3900
102,45,56,3800
99,32,58,1800
93,3,57,1300
79,10,70,900
56,51,57,1800
68,2,66,3000
15,6,55,1900
60,48,76,1300
42,9,65,3300
58,34,76,3000
78,49,74,600
82,34,65,2900
84,32,70,1800
57,40,65,2900
86,38,53,0
106,37,79,1100
78,13,69,500
108,27,76,3400
57,42,65,2500
93,6,78,3200
92,40,69,2900
75,14,61,2300
86,28,54,3500
75,37,57,3800
65,17,77,1300
27,27,80,4000
108,22,66,4000
98,8,58,2500
22,5,60,2000
45,11,62,3000
15,27,70,2700
86,30,80,1500
23,32,78,1900
85,11,60,3900
37,26,77,3700
26,49,63,1900
74,12,51,1300
37,31,70,3000
44,42,58,3500
16,28,77,3600
66,25,76,1500
55,43,56,300
19,22,65,700
71,18,50,2700
50,4,73,0
94,44,63,1800
104,7,63,3200
19,19,63,500
42,41,54,4000
108,48,52,400
37,37,55,3500
26,42,54,1700
103,42,60,2300
50,20,62,3000
33,14,50,3900
63,22,77,3800
97,2,55,1900
28,16,53,1200
89,21,63,300
106,3,64,2100
43,10,70,1300
25,35,70,200
55,47,69,2800
52,33,52,3500
45,38,64,3200
46,32,71,1200
